text,class_type
"Prime Minister @NarendraModi and I connected earlier today and talked about the ongoing pandemic, its impacts, and our recovery efforts. I also offered my condolences for the loss of lives and damage caused by Cyclones Amphan and Nisarga. More here: https://t.co/uumx8tShu7",human
"We know students are looking for ways to make a real difference right now. With the investments we’ve announced today, we’re giving you the support and connections you need to do that and gain the skills you need for the future. Get all the details here: https://t.co/gZFfcwEBWd",human
"I appreciate our doctors, nurses, healthcare workers and all others associated with Ayushman Bharat. Their efforts have made it the largest healthcare programme in the world. This initiative has won the trust of several Indians, especially the poor and downtrodden.",human
"On this day, 4 years ago @_DigitalIndia was launched, to leverage the power of technology and make technology more accessible. Digital India has empowered people, significantly reduced corruption and improved public service delivery to benefit the poor. #DigitalIndiaNewIndia",human
"The evolution:
- onprem: you run your app on an app server that you buy, install and run yourself
- PaaS: you run your app on an app server that someone else runs for you
- Serverless: you run your code on a runtime which you have no idea what it is or how it works https://t.co/m8F7gbWRLo",human
"I would love to have the bandwidth that 5G promises, but I don't think I can spend $1000 on a new phone. Gonna sit out another round, my S8 is still running fine. My SIII before that lasted 5 years before the battery started to not last a whole day https://t.co/rCxJqwuHlq",human
"I thank members of the @mvpeoplesmajlis for being a part of today's programme. 

My speech covered aspects of bilateral ties between our nations, the need to eliminate terror, working together to combat climate change and other issues.

Sharing pictures from the occasion. https://t.co/4Z9U85LvZx",human
"....that I testify about the phony Impeachment Witch Hunt. She also said I could do it in writing. Even though I did nothing wrong, and don’t like giving credibility to this No Due Process Hoax, I like the idea &amp; will, in order to get Congress focused again, strongly consider it!",human
"....hundreds of Iranian protesters. He was already attacking our Embassy, and preparing for additional hits in other locations. Iran has been nothing but problems for many years. Let this serve as a WARNING that if Iran strikes any Americans, or American assets, we have.....",human
"It would make India’s Parliament proud that due to their historic decision in August this year, the people of J&amp;K have been able to exercise their democratic right with exceptional enthusiasm, as seen in the historic turnout of 98% that too without violence or disturbance.",human
"Newspapers are a fantastic way to reaffirm the vitality of voting. 

That is why, I request the teams of @manoramaonline, @AmarUjalaNews and Sakal Media Group to motivate more people to exercise their franchise through innovative voter awareness campaigns. #VoteKar",human
"These images from Koraput demonstrate the tremendous support for BJP in Odisha.

People of Odisha are tired of mining mafia, chit fund scams,misgovernance &amp; inability to solve issues relating to health &amp; education.

Odisha is set to reject BJD. Congress is nowhere in the picture! https://t.co/VpB9xo5LxY",human
"Frances Hakes, former Federal prosecutor, “This is really significant. The FBI had debunked the Steele Dossier in January of 2017, and then even after they did that, even after they knew from the CIA &amp; from their own sources, they knew that Carter Page was not the agent of",human
I am deeply saddened to learn about the passing away of His Majesty Sultan Qaboos bin Said al Said. He was a visionary leader and statesman who transformed Oman into a modern and prosperous nation. He was a beacon of peace for our region and the world. https://t.co/7QnGhM5lNA,human
"I come to Kerala with a deep sense of gratitude to the people. 

Yes, our Party did not win a seat here but I will serve the state with even greater vigour and deepen the bond with its wonderful citizens. 

Highlighted our vision for agriculture, tourism, healthcare and more. https://t.co/lbG7Y6OXIK",human
"I don’t know what report current Director of the FBI Christopher Wray was reading, but it sure wasn’t the one given to me. With that kind of attitude, he will never be able to fix the FBI, which is badly broken despite having some of the greatest men &amp; women working there!",human
"This Women's Day, I will give away my social media accounts to women whose life &amp; work inspire us. This will help them ignite motivation in millions.

Are you such a woman or do you know such inspiring women? Share such stories using #SheInspiresUs. https://t.co/CnuvmFAKEu",human
"The partnership between Canada and the EU is stronger than ever. CETA has increased trade &amp; created good middle class jobs, and we're working together to fight climate change. More on this week's Summit &amp; how we’ll keep building on the progress we've made: https://t.co/ScN7w0qXWs https://t.co/kVGmIeMyIL",human
"This is not about an eternal search for the ultimate tool. It's knowing that some tools are better at solving problems than others, and appreciating the benefit of evaluating the pros and cons of available and potential tools so you can select tools that are effective. https://t.co/KoBtkiyzuU",human
"Happy to have campaigned in Thiruvananthapuram last evening. BJP’s support base in this city has been rising over the last many years. UDF and LDF's corruption, communalism and failure to protect Kerala’s culture is drawing people to BJP. Kerala politics is seeing a big shift. https://t.co/VIEIPRkXem",human
"While addressing my fellow Indians today, I spoke at length about the new era of development in Jammu, Kashmir and Ladakh. The entire country is with the people of these regions as they embark on the path to progress. Everything will be done to fulfil people’s aspirations.",human
Anguished by the passing away of Uttarakhand’s Finance Minister Shri Prakash Pant. His organisational skills helped strengthen the BJP and administrative skills contributed to Uttarakhand’s progress. My thoughts are with his family and supporters. Om Shanti.,human
"@kb6nzv I did, I think similar articles showed up highlighting this point as well. I think they were finger pointing at this as the major issue, but seems there was much more behind the (poor?) design decisions made, then made worse by adding inexperienced developers to the team?",human
"@jessfraz When we got an Atari 2600 I studied every picture of every game on the box, imagining what they all were. So many games! The funny thing was we only ever had two cartridges, Combat and Pacman, played them for hundreds of hours, and strangely never got any other games",human
Right tool for the job. I've never understood why some devs believe there exists a single tool to solve all problems. Solving real world problems with abstract constructs in software is the broadest problem space possible. It doesn't make sense that they could be a single tool https://t.co/9IRNgSmcr2,human
"Enhancing ‘Ease of Living’ for the people of Mumbai. 

Work has begun on developmental projects worth over Rs. 20,000 crore for the city. This includes better metro connectivity, boosting infrastructure in metro stations, linking BKC with Eastern Express Highway and more. https://t.co/ZZ6blu1N2e",human
".....”no pressure” put on him to investigate Sleepy Joe Biden even though, as President, I have an “obligation” to look into corruption, and Biden’s actions, on tape, about firing the prosecutor, and his son’s taking millions of dollars, with no knowledge or talent, from a.....",human
".@ElizabethMay, you’ve been a champion for the environment for decades, and your leadership on the climate crisis has helped push our country forward. I know you’ll continue to inspire Canadians of all ages &amp; political stripes to fight for a better &amp; cleaner future.",human
"Our case against lyin’, cheatin’, liddle’ Adam “Shifty” Schiff, Cryin’ Chuck Schumer, Nervous Nancy Pelosi, their leader, dumb as a rock AOC, &amp; the entire Radical Left, Do Nothing Democrat Party, starts today at 10:00 A.M. on @FoxNews, @OANN or Fake News @CNN or Fake News MSDNC!",human
"From the small screen to the Senate, and as a businesswoman and Member of Parliament, Andrée Champagne’s contributions to Quebec and our whole country were vast and her impact was immense. My deepest condolences to her family, friends, and fans who are mourning her passing.",human
"@urnamma Exactly. The difficult part is not the typing, tech that helps you code quicker is not a problem that needed to be solved. The difficult part is the thinking. And its the part we definitely need to spend more time on, and yet often we don't. That's the problem we need to solve.",human
"Mini Mike Bloomberg is spending a lot of money on False Advertising. I was the person who saved Pre-Existing Conditions in your Healthcare, you have it now, while at the same time winning the fight to rid you of the expensive, unfair and very unpopular Individual  Mandate.....",human
"On #DoctorsDay, I congratulate all hardworking doctors for their round the clock efforts to make our society fit and healthy. No words can do justice to their monumental contribution to public welfare. 

I also pay tributes to Dr. BC Roy, a distinguished doctor himself.",human
"I did have a thought that I should strip out all the code snippets and HTML in code blocks in the blog text that I trained my RNN ML model with, but generated code from a model is rather amusing. And yes! The docs now have their download! Whatever that means <U+0001F44D> https://t.co/1sz9K8HEmi",human
"....followed, and then it was withdrawn. The Democrats argument for impeachment has not gotten stronger over the last few weeks. As Senator Josh Hawley just said, he’s going to enter a Motion to Dismiss the Impeachment Trial because it’s never actually been brought to trial.”",human
"If I didn’t demand that National Guard Troops go into Minneapolis after watching how poorly the Liberal Democrat government was handling things, you wouldn’t even have a Minneapolis now. Once they were deployed, in force, all looting, burning and crime stopped DEAD!",human
"India is delighted to welcome @PresRajapaksa! It is a matter of joy for us that he has chosen India for his first visit after assuming the PM’s office. 

We had wide ranging talks on multiple subjects that will further cement India-Sri Lanka friendship. https://t.co/lI2FRtMfLf",human
"India’s Vice President and Chairman of the Rajya Sabha, @MVenkaiahNaidu Garu as well as Speaker @ombirlakota Ji conducted proceedings of both Houses in an excellent manner, for which they deserve praise from the entire nation. @VPSecretariat @loksabhaspeaker",human
"Fruitful interactions with MPs from the European Parliament. We exchanged views on boosting India-EU ties, the need to come together to fight terrorism and other issues. I spoke about steps being taken by the Government of India to boost ‘Ease of Living.’ https://t.co/7YYocW3AQN https://t.co/9y1ObOvL9e",human
"General Qassem Soleimani has killed or badly wounded thousands of Americans over an extended period of time, and was plotting to kill many more...but got caught! He was directly and indirectly responsible for the death of millions of people, including the recent large number....",human
"We mark our PartyÃ¯Â¿Â½s 40th Anniversary when India is battling COVID-19. I appeal to BJP Karyakartas to follow the set of guidelines from our Party President @JPNadda Ji, help those in need and reaffirm the importance of social distancing. LetÃ¯Â¿Â½s make India COVID-19 free. #BJPat40 https://t.co/8RrvuLKzWm",human
"Minnesota, we need Lacy Johnson in Washington, D.C. Has my Complete and Total Endorsement. He’s tough and smart - and loves Minnesota. Look at the MESS you just went through - No more. Next time call up the National Guard much sooner, and Vote for Lacy! https://t.co/pbosKiStf6",human
Was going through some of the articles on the Vikas Yatra section. I commend all the volunteers who have put this section together and created diverse content that gives a comprehensive picture of the work done by the Central Government. Am also sharing some articles with you...,human
"We’re building new schools, investing in early learning &amp; child care, and supporting language, culture, &amp; special education programs. We've made historic investments in post-secondary education for Indigenous students, and have closed the funding gap for K-12 education.",human
"The farmers are really happy with the new China Trade Deal and the soon to be signed deal with Mexico and Canada, but I hope the thing they will most remember is the fact that I was able to take massive incoming Tariff money and use it to help them get through the tough times!",human
"Judith Keating and W. Brent Cotter have both led exceptional careers. Their years of service &amp; dedication to regional, cultural, and linguistic diversity will help the Senate better serve all Canadians. More on the experience they’ll bring to the Chamber: https://t.co/9uJnJVMWhw",human
"Today, we honour the thousands of courageous Canadians who fought and made the ultimate sacrifice to liberate the Dutch people from years of unspeakable cruelty, misery, and hunger under Nazi rule. We must never forget. #CanadaRemembers #Netherlands75 https://t.co/93KJiAw8DV",human
"@littleidea @deors314 @brunoborges @elemarjr @chadfowler @venkat_s @martinfowler Sure, there is never a perfect solution, there is no perfect code. The right answer should always be 'it depends' because there are so many factors at play for every problem. The original question was about whether core knowledge should be required in our industry",human
"just made this, its ""An employers guide to islamic religious practices"", adapted from @CAIRNational

check it out here: https://t.co/By2QEeVs7g

hopefully you can send this to your coworkers/bosses whenever you start a new job in order to avoid tough conversations https://t.co/71UXT1VuVQ",human
"Yoga:

More than just exercises.

Simple and convenient. 

Helps improve concentration and decision making.

Improves posture.

I write on @LinkedIn, on why more professionals, especially young professionals should embrace Yoga. #YogaDay2019 

https://t.co/E4sQ9iBXWE",human
"GST is a major reform that fulfilled the dream of ‘One Nation, One Tax.’

Introduction of GST remains a great example of cooperative federalism.

As GST completes 2 years, congratulations to those who made it possible and constantly took feedback to make it more people-friendly. https://t.co/xalv96i7Cg",human
"While everyone is debating if working long hours is essential to further your career (of course it isn't), if you want to spend more time on anything look for repetitive tasks that you can automate freeing up time for other tasks that need more focus https://t.co/wMXsQqszL0 https://t.co/o20dSryFP9",human
"As people continue to feel the impacts of this pandemic, many are turning to food banks to feed their families. And at @MoissonOutaouai this morning, @StevenMacKinnon and I met some of the volunteers who’ve stepped up to help out - and we thanked them for the work they’re doing. https://t.co/te1B9BookZ",human
"The great USMCA Trade Deal (Mexico &amp; Canada) has been sitting on Nancy Pelosi’s desk for 8 months, she doesn’t even know what it says, &amp; today, after passing by a wide margin in the House, Pelosi tried to take credit for it. Labor will vote for Trump. Trade deal is great for USA!",human
"Recently the Ayush Ministry came out with protocols that list out easily doable things that improve health as well as immunity. There are many things in the protocol that I myself have been diligently doing for years, such as drinking only hot water through the year.",human
"We have a totally corrupt previous Administration, including a President and Vice President who spied on my campaign, AND GOT CAUGHT...and nothing happens to them. This crime was taking place even before my election, everyone knows it, and yet all are frozen stiff with fear....",human
this shit deadass so funny those kids ignoring the fight and pointing and laughing at the kid taking a shit instead <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D>,human
". @kevinhookebot is back up again after some downtime while I moved the text generation also onto AWS - it's now generating text from a ML model using PyTorch that is running as a Python based AWS Lambda. Needs some tweaking, but it's now completely on AWS https://t.co/p69vKPiV3M",human
"The ties between Canada and Egypt, and the people who call our two countries home, run deep. President @AlsisiOfficial and I sat down today to talk about strengthening economic relations, supporting peace &amp; development around the world, and more: https://t.co/9ozWkfSY2o https://t.co/JSCqT6VzD0",human
"Nevada, I hear you on Yucca Mountain and my Administration will RESPECT you! Congress and previous Administrations have long failed to find lasting solutions – my Administration is committed to exploring innovative approaches – I’m confident we can get it done!",human
Congratulations to Attorney General Bill Barr for taking charge of a case that was totally out of control and perhaps should not have even been brought. Evidence now clearly shows that the Mueller Scam was improperly brought &amp; tainted. Even Bob Mueller lied to Congress!,human
"No.  This is categorically false.  I won't name specific names, but overwhelming sentiment/reason for talent leaving, with more yet to be announced, was lower offers and/or worse deals overall.  Why you're parroting PR answers as if they are facts is beyond me. https://t.co/rgxI9MCZwu",human
"....said, “I’m going to clean up Washington, I’m going to help people.” He gave big tax cuts, he’s made our military strong. They’re mad at him because he actually did what he said he was going to do. History will record we’re experiencing some of the best times we’ve ever.....",human
"Over the last several years, the Lion population in Gujarat has been steadily rising. This is powered by community participation, emphasis on technology, wildlife healthcare, proper habitat management and steps to minimise human-lion conflict. Hope this positive trend continues!",human
"Thank you President @jairbolsonaro. I look forward to making your acquaintance and working with you to develop India-Brazil relations in all spheres, and our cooperation in multilateral fora, including BRICS under your Chairmanship. https://t.co/j5lc2RidhD",human
Ishaan Sharma not only showed indomitable courage but also showed the spirit of ‘Atithi Devo Bhava’ in action when he saved the life of a Russian tourist from robbers. He also ensured that the robbers were caught within 24 hours. Was good meeting the brave Ishaan! https://t.co/q6UMITJhnQ,human
"My visit to France has been a successful one. We have discussed numerous issues, that would strengthen relations in existing sectors and enhance cooperation in newer areas. I thank the people and Government of France for their hospitality. https://t.co/xizRWlrAGc",human
"“Look, the House is supposed to do all of this work on witnesses and documents BEFORE they send the articles over to the Senate, not to call in new witnesses, go through new documents - that work is supposed to be done in the House.” @KatiePavlich @foxandfriends",human
"....No Republican Senate Judiciary response, NO “JUSTICE”, NO FBI, NO NOTHING. Major horror show REPORTS on Comey &amp; McCabe, guilty as hell, nothing happens. Catch Obama &amp; Biden cold, nothing. A 3 year, $45,000,000 Mueller HOAX, failed - investigated everything....",human
"PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi) is a very special scheme. For the first time, our street vendors are a part of a livelihood programme. This scheme will ensure support for street vendors. It harnesses technology and emphasises on capacity building.",human
"if you think about it, vegans are the cause of global warming because they aint eating enough cows to reduce methane gas <U+0001F633><U+0001F633><U+0001F633><U+0001F633><U+0001F633><U+0001F633><U+0001F63C><U+0001F63C><U+0001F63C><U+0001F63C><U+0001F63C><U+0001F63C><U+0001F628><U+0001F628><U+0001F628><U+0001F628><U+0001F628>",human
"The bizarreness of the multiple versions of Window10 UI dialogs:
""Where's the setting to ...?""
""That's in the Settings""
""Here? I can't find it?""
""No, the other Settings""
""Here? Still can't find it""
""No, the other, other Settings"" https://t.co/Yl3PReyeNj",human
"Congressman @LanceGooden has done a wonderful job for the people of Texas while supporting our #MAGA Agenda. He continues to protect your very important #2A. Lance is Strong on Crime and the Border, he Loves our Great Vets and Military. Lance has my Complete &amp; Total Endorsement!",human
"Great industry insight in SE Radio Ep 357 interview with Adam Barr on Code Quality ""because people aren't looking back historically they tend to spend a lot of time reinventing things that were already known if they had paid attention"" https://t.co/luGQBUmGRW",human
Congressional Do Nothing Democrats are being absolutely decimated in their districts on the subject of the Impeachment Hoax. People that voted for them are literally screaming in their faces. Crazy Nancy is finding defending Shifty Schiff harder than she thought! #2020Election,human
I want to unequivocally assure my fellow Indians that CAA does not affect any citizen of India of any religion. No Indian has anything to worry regarding this Act. This Act is only for those who have faced years of persecution outside and have no other place to go except India.,human
"Like so many small businesses across the country, Ottawa’s Régimbal Awards and Promotions was hit hard by this pandemic - they went down to 3 employees and were worried about making ends meet. But thanks to the wage subsidy, they’re back up and running with 17 employees. https://t.co/936enIP8uD",human
"Walks that are good for health and good for the country! When young professionals take time out during lunch breaks to tell people about the good work done in the last five years, it tells us why India is crossing new milestones every day!. Thank you! https://t.co/C3XsKdEnqK",human
"“Not only have the Democrats not advanced key pieces of legislation that would help the economy, but the polls, especially in early states, are showing that voters are tuning out.” @PeteHegseth They don’t want our greatest of all presidents impeached!",human
"Wishing a happy and healthy New Year to Tamils celebrating Puthandu. As we give thanks for the blessings in our lives today, let's find new ways to mark this special occasion - so that when we get through this, we can all celebrate together. https://t.co/9F2iZo2ZNQ",human
"....it’s alienating independents. This President is being persecuted over three years with one investigation after another, and that really plays to his base.” @FoxNews  @cvpayne  Their partisan Witch Hunt is hurting our Country do badly, &amp; only bringing more division than ever!",human
"Delhi is known for it’s welcoming nature. People from all regions and religions live in harmony. This is the spirit of brotherhood that makes Delhi special. 
Sadly, Congress trampled over this ethos of Delhi by its conduct in 1984. Such a communal party can’t ever govern India. https://t.co/EGwQ2td0Ck",human
"Best wishes to Shri @PrakashJavdekar Ji on his birthday. He is widely admired for his down-to-earth and affable nature. Be it in the Party organisation or as a Union Minister, he has undertaken any responsibility assigned to him with dedication. Praying for his long life.",human
"Great writer and historian, Doug Wead, has written a true (not Fake News) account of what is going on in Washington and the White House. His new book, INSIDE TRUMP’S WHITE HOUSE, is an incredible description of a very exciting and successful time in our Country’s history. Buy it!",human
"...Won all against the Federal Government and the Democrats send everything to politically corrupt New York, which is falling apart with everyone leaving, to give it a second, third and fourth try. Now the Supreme Court gives a delay ruling that they would never have given...",human
Exploiting a tragedy and people’s willingness to help for personal gain is one of the most morally corrupt things you can do. The fact that @SudanMealProject did all this to get mere Instagram followers exemplifies just how broken this information sharing economy really is. https://t.co/VhLp7WHpk6,human
COVID-19 is having an impact on people right across the country - but we know that some communities are more vulnerable to its impacts than others. So here’s what we’re doing to help the most vulnerable and make sure no one gets left behind. <U+2935><U+FE0F>,human
"We’ve made a lot of progress on the first and only national climate plan Canada has ever had. But Conservatives want to rip it up, and roll back our progress. The choice is yours. Vote Liberal on Monday - because there's still more to do to fight climate change. #ChooseForward https://t.co/nDUjhCUDAY",human
"Spoke to officials regarding the situation arising due to Cyclone Fani. Asked them to take preventive measures and be prepared to provide all possible assistance. Also urged them to work closely with Governments of the affected states.
Praying for everyone's safety and wellbeing.",human
"I also have constantly asked, “Why aren’t Germany, France and other European countries helping Ukraine more? They are the biggest beneficiaries. Why is it always the good ol’ United States?” The Radical Left, Do Nothing Democrats, never mention this at their phony hearing!",human
"Whenever Congress comes to power:

Prices are high.

Taxes are high.

Irrigation projects are delayed. 

National security is ignored. 

BJP’s development agenda empowers millions. 

Here are highlights from Rajasthan yesterday. https://t.co/w5afrbrvuG",human
"Canada’s tradespeople build our communities, keep our country moving, and create opportunities for all of us. And as we restart our economy and get things going again, we’ll be there to support our workers and keep them safe. Thanks as always for today’s meeting, @CDNTrades. https://t.co/RDwasJs9SR",human
"There is no doubt that Arunachal Pradesh is going to support BJP in the upcoming elections. People from all sections of society, particularly youngsters joined today’s public meeting in Pasighat. Spoke about the stupendous track record of NDA and failed promises of UPA. https://t.co/hWA7XX8OQ7",human
"On #WorldEnvironmentDay, we reiterate our pledge to preserve our planetÃ¯Â¿Â½s rich biodiversity. Let us collectively do whatever possible to ensure the flora and fauna with whom we share the Earth thrive. May we leave an even better planet for the coming generations. https://t.co/nPBMthR1kr",human
@nathankpeck This is interesting. Doesn't https://t.co/JZi4tXJzW9 do something to detect and prevent scraping? Last time I tried this I ran into issues with anything (e.g. a library) trying to scrape product descriptions from the site because the user agent wasn't a recognized browser?,human
"Did you notice a big sticker that says #POSTPromise? That means this business has committed to following public health measures to keep people safe. If you’re a business owner ready to make the same promise and reopen safely, click here: https://t.co/5Yb5GTIIfO https://t.co/wjFXQbBJrj",human
"@anaisbetts @MySmallfish @migueldeicaza Code is not the same as a book through. When you read a book you read through each page sequentially. With code you read following the flow of the call stack, and there can be many possible paths through the code. There is no single path, other in the most trivial examples",human
"The Democrat Party in Iowa really messed up, but the Republican Party did not. I had the largest re-election vote in the history of that great state, by far, beating President Obama’s previous record by a lot. Also, 97% Plus of the vote! Thank you Iowa!",human
Greetings to @mlkhattar Ji on his birthday. I have known Manohar Lal Ji for years and have always admired his down to earth nature. He has provided effective and corruption-free governance to Haryana. He is a CM for all sections of society. Praying for his long and healthy life.,human
"2019-2020 NFL season picks:

NFC Division winners:
PHI
CHI
ATL
SEA

WC:
LAR
NO

Champ. game: ATL vs. PHI

NFC to SB: PHI

AFC Division winners:
NE
BAL
JAX
KC

WC:
LAC
PIT

Champ. game: NE vs KC

AFC to SB: KC

SB: PHI vs. KC

SB winner: Eagles",human
"It’s hard to see KC getting anywhere near last year’s offensive production (film on Mahomes, loss of talent, etc.) the Rams will also take a big step backwards as Gurley’s health is up in the air. Philly on the other hand is STACKED. 

1. PHI
2. LAC
3. KC
4. IND
5. NO https://t.co/d7voBl2NC3",human
"Congressman @MichaelCBurgess has done a Great job representing the people of Texas. He continues to protect your very important Second Amendment. Mike is Strong on Crime and the Border, he Loves our Great Vets and Military. Mike has my Complete and Total Endorsement!",human
"10 provinces in 10 days! I’ve been traveling across the country, meeting people and listening to what matters most to you. Conservatives want to take us backwards – but we need to keep up our progress, and keep moving forward. #ChooseForward https://t.co/kZ9V27Gm04",human
"Democrats are now the party of high taxes, high crime, open borders, late-term abortion, socialism, and blatant corruption. The Republican Party is the party of the American Worker, the American Family, and the American Dream! #TrumpMilwaukeeRally https://t.co/LAl96RE49h",human
"Did you know 55% of the cargo from Montreal goes to Europe? @PortMTL plays a key role in the strong trade partnership between Canada and Europe. And since CETA came into force, it hired 200 people to keep up with the increase in cargo and extra dock traffic. https://t.co/0sPJWR70y7",human
"Tell Jennifer Williams, whoever that is, to read BOTH transcripts of the presidential calls, &amp; see the just released ststement from Ukraine. Then she should meet with the other Never Trumpers, who I don’t know &amp; mostly never even heard of, &amp; work out a better presidential attack!",human
"Inaugurating new development works.

Kickstarting long pending projects. 

Going to places associated with India’s culture. 

Engaging with professionals.

Vibrant political rallies. 

The last 125 days have been both memorable and humbling. https://t.co/3YEy6B5t0E",human
"@anaisbetts @MySmallfish @migueldeicaza I would expect even the most basic of IDEs to help you easily navigate the structure of your (and other developer's) code. That's it's purpose, and the difference between an IDE and a text editor. This is a required feature of any IDE.",human
"Campaigned in Kaushambi and Ambedkar Nagar in Uttar Pradesh. 

SP has done great disservice to Dr. Lohia's ideals and BSP has abandoned the principles of Dr. Ambedkar. 

BJP is devoting all possible resources to serve the poor and downtrodden. That is why, people trust BJP. https://t.co/OxZ5XHqXon",human
"Now, the time has come to take the Chowkidar Spirit to the next level. 

Keep this spirit alive at every moment and continue working for India’s progress.

The word ‘Chowkidar’ goes from my Twitter name but it remains an integral part of me. Urging you all to do the same too!",human
"Now the Radical Left, Do Nothing Democrats, are asking @senatemajldr Mitch McConnell to do the job that they were unable to do. They proved NOTHING but my total innocence in the House, despite the most unfair &amp; biased hearings in the history of Congress. Now they demand fairness!",human
"Representatives from social organisations spoke at length about how they are working to fight Coronavirus. They are spreading awareness, emphasising on social distancing, feeding the poor and more. Their proactive efforts are laudable. #IndiaFightsCorona",human
"Met the exceptional Khimchandbhai from Amreli, Gujarat.

Khimchandbhai decided that if BJP wins 300+ seats, he would cycle from Amreli to Delhi. He kept his word and am told that his cycle journey has drawn several admirers. 

I was deeply impressed by his humility and passion. https://t.co/jtfDggCsHv",human
"Are you between the ages of 15 and 30 and looking to put your skills to use? There are thousands of job opportunities available across the country right now, and more are being added - this is your chance! Take a look at the openings and apply today: https://t.co/uTjXneGWzS https://t.co/s34DzEQqZx",human
"Nancy Pelosi just had a nervous fit. She hates that we will soon have 182 great new judges and sooo much more. Stock Market and employment records. She says she “prays for the President.” I don’t believe her, not even close. Help the homeless in your district Nancy. USMCA?",human
"You heard of food for thought. Now, it is time for action and a better future for our poor.

Hello, I am @snehamohandoss. Inspired by my mother, who instilled the habit of feeding the homeless,  I started this initiative called Foodbank India. #SheInspiresUs https://t.co/yHBb3ZaI8n",human
"Just received a briefing on the horrific shootout that took place in Jersey City, NJ. Our thoughts &amp; prayers are w/ the victims &amp; their families during this very difficult &amp; tragic time. We will continue to monitor the situation as we assist local &amp; state officials on the ground.",human
"Survey Finds Kubernetes Ripple Effect Widening: ""early indications suggest it’s likely Kubernetes will soon have the more profound impact on IT processes than any other platform since the introduction of the virtual machine"" https://t.co/eTYgf9XKK3 via @containerblog",human
"People of Maharashtra have blessed the NDA with immense affection. We are humbled to have got the people’s support yet again. Our work towards Maharashtra’s progress continues! I salute each and every Karyakarta of the BJP, Shiv Sena and our entire NDA family for their hardwork.",human
"What's the deal with Delivery Optimization on Windows 10 being enabled on new laptops causing high CPU and spinning up cooling fans sounding like you're going to take off? Turn off Delivery Optimization, CPU drops to zero, laptop is quiet. https://t.co/j3dqQxiGPQ",human
